slm_wavelength,phases,amplitudes
795.1999999999999,2.808405837898788,1.0
795.4,2.808405837898788,1.0
795.6,2.808405837898788,1.0
795.8,2.808405837898788,1.0
796.0,5.119539136724827,1.0
796.1999999999999,5.119539136724827,1.0
796.4,5.119539136724827,1.0
796.6,5.119539136724827,1.0
796.8,4.22390420111824,1.0
797.0,4.22390420111824,1.0
797.1999999999999,4.22390420111824,1.0
797.4,4.22390420111824,1.0
797.6,1.1947607239724563,1.0
797.8,1.1947607239724563,1.0
798.0,1.1947607239724563,1.0
798.1999999999999,1.1947607239724563,1.0
798.4,1.4284546405942251,1.0
798.6,1.4284546405942251,1.0
798.8,1.4284546405942251,1.0
799.0,1.4284546405942251,1.0
799.1999999999999,0.10596636774036315,1.0
799.4,0.10596636774036315,1.0
799.6,0.10596636774036315,1.0
799.8,0.10596636774036315,1.0
800.0,3.250839942494353,1.0
800.1999999999999,3.250839942494353,1.0
800.4,3.250839942494353,1.0
800.6,3.250839942494353,1.0
800.8,3.76410602968802,1.0
801.0,3.76410602968802,1.0
801.1999999999999,3.76410602968802,1.0
801.4,3.76410602968802,1.0
801.6,4.3994806918325,1.0
801.8,4.3994806918325,1.0
802.0,4.3994806918325,1.0
802.1999999999999,4.3994806918325,1.0
802.4,4.210604784483018,1.0
802.6,4.210604784483018,1.0
802.8,4.210604784483018,1.0
803.0,4.210604784483018,1.0
803.1999999999999,4.196300176513516,1.0
803.4,4.196300176513516,1.0
803.6,4.196300176513516,1.0
803.8,4.196300176513516,1.0
804.0,5.340413682160108,1.0
804.1999999999999,5.340413682160108,1.0
804.4,5.340413682160108,1.0
804.6,5.340413682160108,1.0
804.8,4.8670605880706885,1.0
805.0,4.8670605880706885,1.0
805.1999999999999,4.8670605880706885,1.0
805.4,4.8670605880706885,1.0
805.6,0.260419772078216,1.0
805.8,0.260419772078216,1.0
806.0,0.260419772078216,1.0
806.1999999999999,0.260419772078216,1.0
806.4,2.903006406655037,1.0
806.6,2.903006406655037,1.0
806.8,2.903006406655037,1.0
807.0,2.903006406655037,1.0
807.1999999999999,1.8555410026685089,1.0
807.4,1.8555410026685089,1.0
807.6,1.8555410026685089,1.0
807.8,1.8555410026685089,1.0
808.0,5.90193742921559,1.0
808.1999999999999,5.90193742921559,1.0
808.4,5.90193742921559,1.0
808.6,5.90193742921559,1.0
808.8,5.966627456429094,1.0
809.0,5.966627456429094,1.0
809.1999999999999,5.966627456429094,1.0
809.4,5.966627456429094,1.0
809.6,4.77404862843264,1.0
809.8,4.77404862843264,1.0
810.0,4.77404862843264,1.0
810.1999999999999,4.77404862843264,1.0
810.4,4.365619950363941,1.0
810.6,4.365619950363941,1.0
810.8,4.365619950363941,1.0
811.0,4.365619950363941,1.0
811.1999999999999,3.4747017244901417,1.0
811.4,3.4747017244901417,1.0
811.5999999999999,3.4747017244901417,1.0
811.8,3.4747017244901417,1.0
812.0,0.568142852967413,1.0
812.1999999999999,0.568142852967413,1.0
812.4,0.568142852967413,1.0
